SAL_CODE_2021,SAL_NAME_2021
10001,Aarons Pass
10002,Abbotsbury
10003,Abbotsford (NSW)
10004,Abercrombie
10005,Abercrombie River
10006,Aberdare
10007,Aberdeen (NSW)
10008,Aberfoyle
10009,Aberglasslyn
10010,Abermain
10011,Abernethy
10012,Abington (NSW)
10013,Acacia Creek
10014,Acacia Gardens
10015,Adaminaby
10016,Adamstown
10017,Adamstown Heights
10018,Adelong
10019,Adjungbilly
10020,Afterlee
10021,Agnes Banks
10022,Airds
10023,Akolele
10024,Albert
10025,Albion Park
10026,Albion Park Rail
10027,Albury
10028,Aldavilla
10029,Alectown
10030,Alexandria
10031,Alfords Point
10032,Alfredtown
10033,Alice
10034,Alison (Central Coast - NSW)
10035,Alison (Dungog - NSW)
10036,Allambie Heights
10037,Allandale (NSW)
10038,Allawah
10039,Alleena
10040,Allgomera
10041,Allworth
10042,Allynbrook
10043,Alma Park
10044,Alpine
10045,Alstonvale
10046,Alstonville
10047,Alumy Creek
10048,Amaroo (NSW)
10049,Ambarvale
10050,Amosfield
10051,Anabranch North
10052,Anabranch South
10053,Anambah
10054,Ando
10055,Anembo
10056,Angledale
10057,Angledool
10058,Anglers Reach
10059,Angourie
10060,Angus
10061,Anna Bay
10062,Annandale (NSW)
10063,Annangrove
10064,Appin (NSW)
10065,Apple Tree Flat
10066,Appleby
10067,Appletree Flat
10068,Apsley (NSW)
10069,Arable
10070,Arakoon
10071,Araluen (NSW)
10072,Aratula (NSW)
10073,Arcadia (NSW)
10074,Arcadia Vale
10075,Ardglen
10076,Arding
10077,Ardlethan
10078,Argalong
10079,Argenton
10080,Argents Hill
10081,Argoon
10082,Ariah Park
10083,Arkell
10084,Arkstone
10085,Armatree
10086,Armidale
10087,Arncliffe
10088,Arndell Park
10089,Arrawarra
10090,Arrawarra Headland
10091,Artarmon
10092,Arthurville
10093,Arumpo
10094,Ashbury
10095,Ashby (NSW)
10096,Ashby Heights
10097,Ashby Island
10098,Ashcroft
10099,Ashfield (NSW)
10100,Ashford (NSW)
10101,Ashley
10102,Ashmont
10103,Ashtonfield
10104,Asquith
10105,Atholwood
10106,Attunga
10107,Auburn (NSW)
10108,Auburn Vale
10109,Austinmer
10110,Austral
10111,Austral Eden
10112,Avalon Beach
10113,Avisford
10114,Avoca (NSW)
10115,Avoca Beach
10116,Avon (NSW)
10117,Avondale (NSW)
10118,Avonside
10119,Awaba
10120,Aylmerton
10121,Baan Baa
10122,Babinda (NSW)
10123,Babyl Creek
10124,Back Creek (Bland - NSW)
10125,Back Creek (Gwydir - NSW)
10126,Back Creek (Mid-Coast - NSW)
10127,Back Creek (Queanbeyan-Palerang Regional - NSW)
10128,Back Creek (Tenterfield - NSW)
10129,Back Creek (Tweed - NSW)
10130,Back Forest
10131,Backmede
10132,Backwater
10133,Badgerys Creek
10134,Badja
10135,Baerami
10136,Baerami Creek
10137,Bagnoo
10138,Bago
10139,Bagotville
10140,Bakers Creek (Mid-Coast - NSW)
10141,Bakers Creek (Nambucca Valley - NSW)
10142,Bakers Creek (Uralla - NSW)
10143,Bakers Swamp
10144,Balaclava (NSW)
10145,Balala
10146,Balcolyn
10147,Bald Blair
10148,Bald Hills (NSW)
10149,Bald Nob
10150,Bald Ridge
10151,Baldersleigh
10152,Baldry
10153,Balfours Peak
10154,Balgowlah
10155,Balgowlah Heights
10156,Balgownie
10157,Balickera
10158,Balladoran
10159,Ballalaba
10160,Balldale
10161,Ballengarra
10162,Ballimore
10163,Ballina
10164,Ballyroe
10165,Balmain
10166,Balmain East
10167,Balmoral (Lake Macquarie - NSW)
10168,Balmoral (Wingecarribee - NSW)
10169,Balranald
10170,Bamarang
10171,Banda Banda
10172,Bandon Grove
10173,Bangadang
10174,Bangalee (NSW)
10175,Bangalow
10176,Bangheet
10177,Bango
10178,Bangor (NSW)
10179,Banksia
10180,Banksmeadow
10181,Bankstown
10182,Bankstown Aerodrome
10183,Bannaby
10184,Bannister (NSW)
10185,Banoon
10186,Banora Point
10187,Banyabba
10188,Bar Beach
10189,Bar Point
10190,Bara
10191,Baradine
10192,Barangaroo
10193,Barcoongere
10194,Barden Ridge
10195,Bardia
10196,Bardwell Park
10197,Bardwell Valley
10198,Barellan
10199,Bargo
10200,Barham
10201,Barigan
10202,Barkers Vale
10203,Barmedman
10204,Barneys Reef
10205,Barnsley
10206,Barooga
10207,Barraba
10208,Barrack Heights
10209,Barrack Point
10210,Barraganyatti
10211,Barragga Bay
10212,Barratta (NSW)
10213,Barren Grounds
10214,Barrengarry
10215,Barretts Creek
10216,Barringella
10217,Barrington (NSW)
10218,Barrington Tops
10219,Barry (Blayney - NSW)
10220,Barry (Tamworth Regional - NSW)
10221,Barwang
10222,Baryulgil
10223,Basin View
10224,Bass Hill
10225,Bassendean (NSW)
10226,Batar Creek
10227,Bateau Bay
10228,Batehaven
10229,Batemans Bay
10230,Bathampton
10231,Bathurst
10232,Batlow
10233,Baulkham Hills
10234,Baw Baw (NSW)
10235,Bawley Point
10236,Baxters Ridge
10237,Bayview (NSW)
10238,Beacon Hill
10239,Beaconsfield (NSW)
10240,Bean Creek
10241,Bearbong
10242,Beaumont (NSW)
10243,Beaumont Hills
10244,Beckom
10245,Bective
10246,Bectric
10247,Bedgerabong
10248,Beechwood
10249,Beecroft
10250,Beecroft Peninsula
10251,Beelbangera
10252,Beemunnel
10253,Bega
10254,Beggan Beggan
10255,Belanglo
10256,Belbora
10257,Belfield
10258,Belford
10259,Belfrayden
10260,Belgravia
10261,Belimbla Park
10262,Bell (NSW)
10263,Bella Vista
10264,Bellambi
10265,Bellangry
10266,Bellata
10267,Bellawongarah
10268,Bellbird
10269,Bellbird Heights
10270,Bellbrook
10271,Bellevue Hill
10272,Bellimbopinni
10273,Bellingen
10274,Bellmount Forest
10275,Belltrees
10276,Belmont (NSW)
10277,Belmont North
10278,Belmont South
10279,Belmore
10280,Belmore River
10281,Beloka
10282,Belowra
10283,Belrose
10284,Bemboka
10285,Ben Bullen
10286,Ben Lomond (NSW)
10287,Benandarah
10288,Bendalong
10289,Bendemeer
10290,Bendick Murrell
10291,Bendolba
10292,Bendoura
10293,Benerembah
10294,Bengalla
10295,Bennetts Green
10296,Benolong
10297,Bensville
10298,Bentley (NSW)
10299,Berala
10300,Berambing
10301,Beresfield
10302,Bergalia
10303,Berkeley
10304,Berkeley Vale
10305,Berkshire Park
10306,Berlang
10307,Bermagui
10308,Berowra
10309,Berowra Heights
10310,Berowra Waters
10311,Berrambool
10312,Berrara
10313,Berremangra
10314,Berrico
10315,Berridale
10316,Berrigal
10317,Berrigan
10318,Berrilee
10319,Berrima
10320,Berringer Lake
10321,Berry
10322,Berry Jerry
10323,Berry Mountain
10324,Berry Park
10325,Berthong
10326,Beryl
10327,Bethungra
10328,Bevendale
10329,Beverley Park
10330,Beverly Hills
10331,Bewong
10332,Bexhill
10333,Bexley
10334,Bexley North
10335,Biala
10336,Bibbenluke
10337,Biddon
10338,Bidgeemia
10339,Bidwill (NSW)
10340,Bielsdown Hills
10341,Big Hill (NSW)
10342,Big Jacks Creek
10343,Big Ridge
10344,Big Springs
10345,Bigga
10346,Bilambil
10347,Bilambil Heights
10348,Bilbul
10349,Bilgola Beach
10350,Bilgola Plateau
10351,Billeroy
10352,Billilingra
10353,Billimari
10354,Billinudgel
10355,Billys Creek
10356,Billywillinga
10357,Bilpin
10358,Bimberi
10359,Bimbi
10360,Bimbimbie
10361,Binalong
10362,Binda
10363,Bindera
10364,Bingara
10365,Bingeebeebra Creek
10366,Bingie
10367,Bingleburra
10368,Biniguy
10369,Binjura
10370,Binna Burra (NSW)
10371,Binnaway
10372,Binya
10373,Birchgrove
10374,Birdwood (NSW)
10375,Birganbigil
10376,Birmingham Gardens
10377,Birriwa
10378,Birrong
10379,Bishops Bridge
10380,Bithramere
10381,Black Creek (Port Macquarie-Hastings - NSW)
10382,Black Creek (Snowy Valleys - NSW)
10383,Black Head
10384,Black Hill (NSW)
10385,Black Hollow
10386,Black Mountain (NSW)
10387,Black Range (NSW)
10388,Black Springs (NSW)
10389,Blackalls Park
10390,Blackbutt (NSW)
10391,Blackett
10392,Blackheath
10393,Blackmans Flat
10394,Blackmans Point
10395,Blacksmiths
10396,Blacktown
10397,Blackville
10398,Blackwall (NSW)
10399,Blair Athol (NSW)
10400,Blairmount
10401,Blakebrook
10402,Blakehurst
10403,Blakney Creek
10404,Bland
10405,Blandford
10406,Blaxland (NSW)
10407,Blaxlands Creek
10408,Blaxlands Ridge
10409,Blayney
10410,Bligh Park
10411,Blighty
10412,Blowering
10413,Blue Bay
10414,Blue Haven
10415,Blue Knob
10416,Blue Mountains National Park
10417,Blue Nobby
10418,Blue Vale
10419,Blueys Beach
10420,Boambee
10421,Boambee East
10422,Boambolo
10423,Boat Harbour (Lismore - NSW)
10424,Boat Harbour (Port Stephens - NSW)
10425,Bobadah
10426,Bobin
10427,Bobs Creek
10428,Bobs Farm
10429,Bobundara
10430,Boco
10431,Bocoble
10432,Bocobra
10433,Bodalla
10434,Bodangora
10435,Boeill Creek
10436,Bogan
10437,Bogan Gate
10438,Bogangar
10439,Bogee
10440,Boggabilla
10441,Boggabri
10442,Bogong Peaks Wilderness
10443,Bohena Creek
10444,Bohnock
10445,Bolaro
10446,Bolivia
10447,Bolong
10448,Bolton Point
10449,Bolwarra (NSW)
10450,Bolwarra Heights
10451,Bom Bom
10452,Bomaderry
10453,Bombah Point
10454,Bombala
10455,Bombay
10456,Bombira
10457,Bombo
10458,Bombowlee
10459,Bombowlee Creek
10460,Bomen
10461,Bonalbo
10462,Bondi
10463,Bondi Beach
10464,Bondi Forest
10465,Bondi Junction
10466,Bonnells Bay
10467,Bonnet Bay
10468,Bonny Hills
10469,Bonnyrigg
10470,Bonnyrigg Heights
10471,Bonshaw (NSW)
10472,Bonville
10473,Booerie Creek
10474,Book Book
10475,Booker Bay
10476,Bookham
10477,Bookookoorara
10478,Bookram
10479,Boolambayte
10480,Boolaroo
10481,Boolcarroll
10482,Booligal
10483,Boolijah
10484,Boomanoomana
10485,Boomerang Beach
10486,Boomey
10487,Boomi
10488,Boomi Creek
10489,Boona Mount
10490,Boonal
10491,Boonoo Boonoo
10492,Boorabee Park
10493,Booragul
10494,Booral (NSW)
10495,Boorga
10496,Boorganna
10497,Boorolong
10498,Boorook
10499,Boorooma
10500,Booroorban
10501,Boorowa
10502,Bootawa
10503,Booti Booti
10504,Booyong
10505,Bora Ridge
10506,Borah Creek
10507,Borambola
10508,Border Ranges
10509,Boree
10510,Boree Creek
10511,Borenore
10512,Boro
10513,Bossley Park
10514,Bostobrick
10515,Botany
10516,Botobolar
10517,Bottle Creek
10518,Bouddi
10519,Bourbah
10520,Bourke
10521,Bourkelands
10522,Bournda
10523,Bournewood
10524,Bow Bowing
10525,Bowan Park
10526,Bowen Mountain
10527,Bowenfels
10528,Bowling Alley Point
10529,Bowman
10530,Bowman Farm
10531,Bowmans Creek
10532,Bowna
10533,Bowning
10534,Bowral
10535,Bowraville
10536,Box Head
10537,Box Hill (NSW)
10538,Boxers Creek
10539,Boydtown
10540,Bradbury (NSW)
10541,Braefield
10542,Braemar
10543,Braemar Bay
10544,Braidwood
10545,Brandy Hill
10546,Branxton
10547,Braunstone
10548,Brawboy
10549,Bray Park (NSW)
10550,Brays Creek
10551,Brayton
10552,Breadalbane (NSW)
10553,Breakfast Creek
10554,Breakfast Point
10555,Bream Beach
10556,Bredbo
10557,Breelong
10558,Breeza
10559,Bretti
10560,Brewarrina
10561,Brewongle
10562,Briarbrook
10563,Bribbaree
10564,Bridgman
10565,Brierfield
10566,Brighton-Le-Sands
10567,Brightwaters
10568,Bril Bril
10569,Brimbin
10570,Brindabella
10571,Brinerville
10572,Bringelly
10573,Bringenbrong
10574,Brisbane Grove
10575,Broadmeadow
10576,Broadwater (Bega Valley - NSW)
10577,Broadwater (Richmond Valley - NSW)
10578,Broadway
10579,Brobenah
10580,Brocklehurst
10581,Brocklesby
10582,Brockley
10583,Brodies Plains
10584,Brogans Creek
10585,Brogers Creek
10586,Brogo
10587,Broke (NSW)
10588,Broken Head
10589,Broken Hill
10590,Brombin
10591,Bronte
10592,Brookdale (NSW)
10593,Brookfield (NSW)
10594,Brooklana
10595,Brooklet
10596,Brooklyn (NSW)
10597,Brookong
10598,Brookvale
10599,Brooman
10600,Brooms Head
10601,Broughams Gate
10602,Broughton (NSW)
10603,Broughton Vale
10604,Broughton Village
10605,Broulee
10606,Brownlow Hill
10607,Browns Creek
10608,Browns Mountain
10609,Brownsville
10610,Brucedale
10611,Bruie Plains
10612,Bruinbun
10613,Brumby Plains
10614,Brundee
10615,Brungle
10616,Brungle Creek
10617,Brunkerville
10618,Brunswick Heads
10619,Brushgrove
10620,Brushy Creek
10621,Buangla
10622,Bucca (NSW)
10623,Bucca Wauka
10624,Buccarumbi
10625,Buchanan (NSW)
10626,Buckajo
10627,Buckaroo
10628,Buckenbowra
10629,Buckenderra
10630,Buckendoon
10631,Bucketty
10632,Buckra Bendinni
10633,Budawang
10634,Buddabadah
10635,Budden
10636,Budderoo
10637,Buddong
10638,Budgee Budgee (NSW)
10639,Budgewoi
10640,Budgewoi Peninsula
10641,Budgong
10642,Buff Point
10643,Bugaldie
10644,Bukalong
10645,Bukkulla
10646,Bulahdelah
10647,Bulee
10648,Bulga (NSW)
10649,Bulga Forest
10650,Bulgary
10651,Bulla (NSW)
10652,Bulla Creek
10653,Bullaburra
10654,Bullagreen
10655,Bullarah
10656,Bullatale
10657,Bullawa Creek
10658,Bulldog
10659,Bulli
10660,Bulliac
10661,Bullio
10662,Bulyeroi
10663,Bumbaldry
10664,Bumbalong
10665,Bundabah
10666,Bundagen
10667,Bundanoon (NSW)
10668,Bundarra
10669,Bundeena
10670,Bundella
10671,Bundemar
10672,Bundewallah
10673,Bundook
10674,Bundure
10675,Bungaba
10676,Bungabbee
10677,Bungalora
10678,Bungarby
10679,Bungarribee
10680,Bungawalbin
10681,Bungendore
10682,Bungonia
10683,Bungowannah
10684,Bungwahl
10685,Bunnaloo
10686,Bunnan
10687,Bunyah
10688,Bunyan
10689,Burcher
10690,Bureen
10691,Burnt Bridge
10692,Burnt Yards
10693,Buronga
10694,Burra (Queanbeyan-Palerang Regional - NSW)
10695,Burra (Snowy Valleys - NSW)
10696,Burra Creek
10697,Burraboi
10698,Burradoo
10699,Burraga
10700,Burragate
10701,Burrandana
10702,Burraneer
10703,Burrangong
10704,Burrapine
10705,Burrawang
10706,Burrell Creek
10707,Burren Junction
10708,Burrier
10709,Burrill Lake
10710,Burringbar
10711,Burrinjuck
10712,Burroway
10713,Burrumbuttock
10714,Burrundulla
10715,Burrungubugge
10716,Burwood (NSW)
10717,Burwood Heights
10718,Busby
10719,Busbys Flat
10720,Bushells Ridge
10721,Buttaba
10722,Buttai
10723,Butterwick
10724,Buxton (NSW)
10725,Byabarra
10726,Byadbo Wilderness
10727,Byangum
10728,Bylong
10729,Byng
10730,Byrock
10731,Byron Bay
10732,Byrrill Creek
10733,Bywong
10734,Cabarita (NSW)
10735,Cabarita Beach
10736,Cabbage Tree Island (Ballina - NSW)
10737,Cabbage Tree Island (Mid-Coast - NSW)
10738,Cabramatta
10739,Cabramatta West
10740,Cabramurra
10741,Caddens
10742,Cadgee (NSW)
10743,Cadia
10744,Caerleon
10745,Caffreys Flat
10746,Cairncross
10747,Calala
10748,Calamia
10749,Calderwood
10750,Caldwell
10751,Calga
10752,Califat
10753,Calimo
10754,Callaghan
10755,Callaghans Creek
10756,Callala Bay
10757,Callala Beach
10758,Calliope (NSW)
10759,Caloola
10760,Cambalong
10761,Camberwell (NSW)
10762,Cambewarra
10763,Cambewarra Village
10764,Camboon (NSW)
10765,Cambra
10766,Cambridge Gardens
10767,Cambridge Park
10768,Cambridge Plateau
10769,Camden
10770,Camden Head
10771,Camden Park (NSW)
10772,Camden South
10773,Camellia
10774,Cameron Park
10775,Camerons Creek
10776,Camira (NSW)
10777,Cammeray
10778,Camp Creek (NSW)
10779,Campbelltown (NSW)
10780,Camperdown (NSW)
10781,Campsie
10782,Campvale
10783,Cams Wharf
10784,Canada Bay
10785,Canadian Lead
10786,Canbelego
10787,Candelo
10788,Cangai
10789,Caniaba
10790,Canley Heights
10791,Canley Vale
10792,Canobolas
10793,Canoelands
10794,Canonba
10795,Canowindra
10796,Canterbury (NSW)
10797,Canton Beach
10798,Canyonleigh
10799,Caparra
10800,Capeen Creek
10801,Capertee
10802,Capoompeta
10803,Captains Flat
10804,Carabost
10805,Caragabal
10806,Carcalgong
10807,Carcoar
10808,Cardiff (NSW)
10809,Cardiff Heights
10810,Cardiff South
10811,Carey Bay
10812,Cargo
10813,Carinda
10814,Caringbah
10815,Caringbah South
10816,Carlaminda
10817,Carlingford
10818,Carlton (NSW)
10819,Carnes Hill
10820,Carnham
10821,Carool
10822,Caroona
10823,Carrabolla
10824,Carrai
10825,Carramar (NSW)
10826,Carrathool
10827,Carrick (NSW)
10828,Carrington (Mid-Coast - NSW)
10829,Carrington (Newcastle - NSW)
10830,Carrington Falls
10831,Carroll
10832,Carrowbrook
10833,Carrs Creek
10834,Carrs Island
10835,Carrs Peninsula
10836,Carss Park
10837,Cartwright
10838,Cartwrights Hill
10839,Carwell
10840,Carwoola
10841,Cascade (NSW)
10842,Casino
10843,Cassilis (NSW)
10844,Castle Cove
10845,Castle Doyle
10846,Castle Hill (NSW)
10847,Castle Rock
10848,Castlecrag
10849,Castlereagh
10850,Casuarina (NSW)
10851,Casula
10852,Catalina
10853,Cataract
10854,Cathcart (NSW)
10855,Catherine Field
10856,Catherine Hill Bay
10857,Cathundral
10858,Cattai
10859,Cattle Creek (NSW)
10860,Cavan (NSW)
10861,Caves Beach
10862,Cawdor (NSW)
10863,Cawongla
10864,Cecil Hills
10865,Cecil Park
10866,Cedar Brush Creek
10867,Cedar Creek (Cessnock - NSW)
10868,Cedar Creek (Tweed - NSW)
10869,Cedar Party
10870,Cedar Point
10871,Cells River
10872,Centennial Park (NSW)
10873,Central Colo
10874,Central Macdonald
10875,Central Mangrove
10876,Central Tilba
10877,Cessnock
10878,Chaelundi
10879,Chain Valley Bay
10880,Chakola
10881,Chambigne
10882,Charbon
10883,Charles Sturt University
10884,Charlestown (NSW)
10885,Charleys Forest
10886,Charlotte Bay
10887,Charlton (NSW)
10888,Charmhaven
10889,Chatham Valley
10890,Chatsbury
10891,Chatswood
10892,Chatswood West
10893,Chatsworth (NSW)
10894,Cheero Point
10895,Cheltenham (NSW)
10896,Cherry Tree Hill
10897,Cherrybrook
10898,Chester Hill
10899,Chichester (NSW)
10900,Chifley (NSW)
10901,Chilcotts Creek
10902,Chilcotts Grass
